pair_id,student_file,teacher_file,total_dtw_cost,path_length,student_duration,avg_cost_Silence_to_Silence,avg_cost_Sa_to_Silence,avg_cost_Silence_to_Sa,avg_cost_Sa_to_Sa,max_cost_Silence_to_Silence,max_cost_Sa_to_Silence,max_cost_Silence_to_Sa,max_cost_Sa_to_Sa,perfect_match_avg_cost,perfect_match_max_cost
pair_0,20220408145911.wav,20220330100622.wav,173.9230568603799,363,4.274999999999999,1.0,1.0,1.0,0.30747711333674316,1.0,1.0,1.0,6.717720098266213,0.6537385566683716,3.8588600491331064
pair_1,20220421105734.wav,20220330101307.wav,238.2030573819872,459,6.57,1.0,,1.0,0.12863663053159766,1.0,,1.0,1.3343224477612958,0.5643183152657988,1.167161223880648
pair_2,20220421112021.wav,20220330101101.wav,265.96396905923905,435,5.549999999999999,1.0,1.0,1.0,0.1375712707104031,1.0,1.0,1.0,0.9799208817928082,0.5687856353552015,0.9899604408964041
pair_3,20220425105156.wav,20220330101317.wav,297.5545413569911,610,7.709999999999999,1.0,1.0,1.0,0.11429686662667414,1.0,1.0,1.0,3.0742388004954226,0.5571484333133371,2.037119400247711
pair_4,20220425105348.wav,20220330101423.wav,366.7646073485997,574,7.799999999999999,,1.0,1.0,0.12539883745174715,,1.0,1.0,1.6509993517602326,0.12539883745174715,1.6509993517602326
pair_5,20220425105209.wav,20220330101326.wav,323.50381868722496,647,8.865,1.0,1.0,1.0,0.07336291302765896,1.0,1.0,1.0,2.1504634447122406,0.5366814565138295,1.5752317223561203
pair_6,20220407121244.wav,20220330101326.wav,341.786759666314,659,8.579999999999998,1.0,1.0,1.0,0.0653226032099057,1.0,1.0,1.0,1.4644924979888736,0.5326613016049528,1.2322462489944368
pair_7,20220421105924.wav,20220330101414.wav,339.89459878925624,597,8.654999999999998,1.0,,1.0,0.09336082243865061,1.0,,1.0,3.3095221945769593,0.5466804112193253,2.1547610972884796
pair_8,20220407121317.wav,20220330101354.wav,439.5398670644212,787,10.319999999999997,1.0,1.0,1.0,0.15650388535202323,1.0,1.0,1.0,4.818013620769076,0.5782519426760117,2.909006810384538
pair_9,20220425105235.wav,20220330101345.wav,400.3626968233684,846,10.86,1.0,1.0,1.0,0.08077361910000831,1.0,1.0,1.0,3.799556046598683,0.5403868095500042,2.3997780232993415
