pair_id,student_file,teacher_file,student_bpm,teacher_bpm,student_scale,teacher_scale,total_dtw_cost,path_length,student_duration,avg_cost_Sa_to_Sa,avg_cost_Silence_to_Sa,avg_cost_Sa_to_Silence,avg_cost_Silence_to_Silence,max_cost_Sa_to_Sa,max_cost_Silence_to_Sa,max_cost_Sa_to_Silence,max_cost_Silence_to_Silence,avg_cost_Ni_to_Silence,max_cost_Ni_to_Silence,avg_cost_Re_to_Re,avg_cost_Re_to_Sa,max_cost_Re_to_Re,max_cost_Re_to_Sa,avg_cost_Sa_to_Re,max_cost_Sa_to_Re,avg_cost_Ga_to_Re,max_cost_Ga_to_Re,avg_cost_Ga_to_Ga,avg_cost_Ma_to_Ma,max_cost_Ga_to_Ga,max_cost_Ma_to_Ma,avg_cost_Ni_to_Sa,avg_cost_Re_to_Ga,max_cost_Ni_to_Sa,max_cost_Re_to_Ga
pair_0,20220408145911.wav,20220330100622.wav,110,110,G3,A3,142.81363964158086,282,3.794999999999999,0.4235599535121985,1.0,1.0,1.0,6.653631674393396,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
pair_1,20220421105734.wav,20220330101307.wav,110,110,G#3,A3,238.2030573819872,459,6.57,0.12863663053159766,1.0,,1.0,1.3343224477612958,1.0,,1.0,,,,,,,,,,,,,,,,,,
pair_2,20220421112021.wav,20220330101101.wav,110,110,A#3,A3,83.06361479928432,243,2.6550000000000002,0.1375712707104031,1.0,1.0,1.0,0.9799208817928082,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
pair_3,20220425105156.wav,20220330101317.wav,110,110,A#3,A3,293.5545413569911,606,7.6499999999999995,0.11647110358464081,1.0,1.0,1.0,3.0742388004954226,1.0,1.0,1.0,,,0.005239955576965605,0.05195489275833509,0.012195372901436796,0.07117036398058696,,,,,,,,,,,,
pair_4,20220425105348.wav,20220330101423.wav,110,110,A#3,A3,58.999051903273354,312,3.6900000000000004,0.13180162714847873,1.0,1.0,,0.9800925409469123,1.0,1.0,,,,0.031040833313113844,0.20183731418099837,0.15520025867717258,0.21735585938214097,0.4469960575732386,1.6509993517602326,,,,,,,,,,
pair_5,20220425105209.wav,20220330101326.wav,110,110,A#3,A3,323.50381868722496,647,8.865,0.09485787598266299,1.0,1.0,1.0,2.1504634447122406,1.0,1.0,1.0,,,0.018852057084966,0.08949420679295339,0.11362369007932327,0.09137530321175724,0.06174786619479858,0.12802398874973364,,,,,,,,,,
pair_6,20220407121244.wav,20220330101326.wav,110,110,A3,A3,341.786759666314,659,8.579999999999998,0.09985747092097057,1.0,1.0,1.0,1.4644924979888736,1.0,1.0,1.0,,,0.014571482399318037,0.1994843935894628,0.17442223184852934,0.1994843935894628,0.0482125356048318,0.15341185151581915,,,,,,,,,,
pair_7,20220421105924.wav,20220330101414.wav,110,110,G#3,A3,26.894598789255873,284,3.8099999999999987,0.13026713979505458,,,,3.3095221945769593,,,,,,0.021183200546010507,0.09476162017878667,0.15435863501583458,0.1426683023448485,0.12838858164061834,0.3412823503262483,0.2393323534553428,0.2957316528901448,,,,,,,,
pair_8,20220407121317.wav,20220330101354.wav,110,110,A3,A3,112.14829114728265,501,5.264999999999998,0.283469148060476,1.0,1.0,1.0,4.818013620769076,1.0,1.0,1.0,,,0.02261552197402389,0.13198433647101998,0.19315166687902785,0.2328209956438383,0.44588895507730947,0.6013976348147915,0.10492465476224311,0.10492465476224311,0.019698824555454176,0.008749330624832805,0.08532241737705437,0.01675209322928417,,,,
pair_9,20220425105235.wav,20220330101345.wav,110,110,A#3,A3,317.9769209189991,748,9.329999999999998,0.20796951124030974,1.0,1.0,1.0,3.9311978016010287,1.0,1.0,1.0,,,0.024566895145399323,0.23892946215862,0.13968779935961706,0.23892946215862,0.22251082390906582,0.3860502798399852,,,0.019268007118595665,,0.07540910819123359,,2.7754169926266177,0.07948669598921099,2.7780495947495956,0.0913890950458478
