pair_id,student_file,teacher_file,student_bpm,teacher_bpm,student_scale,teacher_scale,total_dtw_cost,path_length,student_duration,Ga_to_Ga,Re_to_Re,Dha_to_Dha,Ni_to_Ni,Pa_to_Pa,Ma_to_Ma,Sa_to_Sa
pair_0,20220408145911.wav,20220330100622.wav,110,110,G3,A3,188.72531765459544,402,4.274999999999999,0,1,,,,,
pair_1,20220421105734.wav,20220330101307.wav,110,110,G#3,A3,244.532954988496,534,6.57,1,,0,0,1,1,
pair_2,20220421112021.wav,20220330101101.wav,110,110,A#3,A3,271.5456399045039,444,5.549999999999999,0,0,,,,0,1
pair_3,20220425105156.wav,20220330101317.wav,110,110,A#3,A3,297.5545413569911,610,7.709999999999999,1,1,0,0,1,1,
pair_4,20220425105348.wav,20220330101423.wav,110,110,A#3,A3,368.7642020331775,688,7.799999999999999,1,1,0,0,0,1,
pair_5,20220425105209.wav,20220330101326.wav,110,110,A#3,A3,324.1241797297236,702,8.865,1,1,0,0,1,1,1
pair_6,20220407121244.wav,20220330101326.wav,110,110,A3,A3,342.3025146668745,663,8.579999999999998,1,1,0,0,1,1,1
pair_7,20220421105924.wav,20220330101414.wav,110,110,G#3,A3,346.13525673812427,740,8.654999999999998,1,1,0,,1,1,1
pair_8,20220407121317.wav,20220330101354.wav,110,110,A3,A3,440.055475068208,809,10.319999999999997,1,1,0,0,0,1,1
pair_9,20220425105235.wav,20220330101345.wav,110,110,A#3,A3,402.9680026474188,859,10.86,1,1,0,0,1,1,1
