student_file,Ga_to_Ga,Re_to_Re,Dha_to_Dha,Ni_to_Ni,Pa_to_Pa,Ma_to_Ma,Sa_to_Sa
20220408145911.wav,0,"(4.481 , 8.429)",,,,,
20220421105734.wav,"(6.339 , 6.780)",,0,0,"(8.638 , 8.893)","(5.596 , 6.200)",
20220421112021.wav,0,0,,,,0,"(4.249 , 4.505)"
20220425105156.wav,"(7.454 , 7.686)",1,0,0,"(6.316 , 6.618)","(6.687 , 7.129)",
20220425105348.wav,"(10.008 , 11.053)","(10.170 , 10.333)",0,0,0,"(7.732 , 10.008)",
20220425105209.wav,"(7.338 , 7.523)","(8.034 , 8.731)",0,0,"(5.712 , 6.687)","(6.200 , 7.338)","(7.779 , 8.034)"
20220407121244.wav,"(6.339 , 7.361)","(6.664 , 6.827)",0,0,"(5.619 , 6.153)","(8.800 , 10.008)","(7.802 , 8.266)"
20220421105924.wav,"(5.642 , 5.898)","(4.760 , 5.433)",0,,"(9.729 , 10.054)","(7.732 , 8.916)","(5.433 , 5.596)"
20220407121317.wav,"(9.590 , 9.938)","(10.588 , 11.076)",0,0,0,"(8.661 , 8.870)","(11.819 , 12.144)"
20220425105235.wav,"(6.525 , 6.711)","(4.133 , 4.412)",0,0,"(6.757 , 7.779)","(6.223 , 8.220)","(4.412 , 5.016)"
