pair_id,student_file,teacher_file,student_mean_f0,teacher_mean_f0,student_voicing_pct,teacher_voicing_pct,s_bpm,t_bpm,s_scale,t_scale
pair_0,20220408145911.wav,20220330100622.wav,245.3429048279157,275.86265597460294,41.75182481751825,33.17307692307692,110,110,G3,A3
pair_1,20220421105734.wav,20220330101307.wav,340.9691997042157,370.17816111205514,58.82352941176471,53.421052631578945,110,110,G#3,A3
pair_2,20220421112021.wav,20220330101101.wav,262.8389608619749,251.32329065207836,46.21212121212121,43.52750809061489,110,110,A#3,A3
pair_3,20220425105156.wav,20220330101317.wav,382.42925796756555,353.9609119020203,58.64485981308412,53.99768250289687,110,110,A#3,A3
pair_4,20220425105348.wav,20220330101423.wav,339.2348808863411,310.01375104675816,57.61741122565864,66.46706586826348,110,110,A#3,A3
pair_5,20220425105209.wav,20220330101326.wav,364.58335169397634,341.22095895243183,61.83035714285714,59.97745208568207,110,110,A#3,A3
pair_6,20220407121244.wav,20220330101326.wav,341.08678890323597,341.22095895243183,59.09580193756727,59.97745208568207,110,110,A3,A3
pair_7,20220421105924.wav,20220330101414.wav,314.1911802664037,342.4647586829677,60.0,65.97938144329896,110,110,G#3,A3
pair_8,20220407121317.wav,20220330101354.wav,311.2961843316911,318.07361549546937,59.12195121951219,66.04514229636898,110,110,A3,A3
pair_9,20220425105235.wav,20220330101345.wav,358.4840063970933,343.50059178187274,63.958916900093364,67.20647773279353,110,110,A#3,A3
